,teamname,league,date,blue_side,gamelength,game,result,teamkills,teamdeaths,firstblood,dragons,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,damagetochampions,damagetakenperminute,wardsplaced,wardskilled,controlwardsbought,totalgold,gspd
1399,AXIZ,LJL,2021-02-28 07:31:14,0,1709,1.0,0,3,22,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,35317.0,2691.3283,87.0,29.0,43.0,43318,-0.176536
1400,PSG Talon,PCS,2021-02-28 07:38:08,1,1363,1.0,1,19,3,1.0,2.0,1.0,0.0,9.0,2.0,2.0,0.0,45602.0,2636.3903,83.0,26.0,26.0,49995,0.203379
1401,Impunity,PCS,2021-02-28 07:38:08,0,1363,1.0,0,3,19,0.0,0.0,0.0,1.0,2.0,9.0,0.0,2.0,32977.0,2828.1438,53.0,29.0,18.0,36247,-0.203379
1402,LNG Esports,LPL,2021-02-28 08:08:33,0,1546,2.0,1,12,1,1.0,3.0,1.0,0.0,9.0,3.0,1.0,0.0,41010.0,2717.8137,93.0,36.0,24.0,49603,0.086139
1403,Victory Five,LPL,2021-02-28 08:08:33,1,1546,2.0,0,1,12,0.0,1.0,0.0,1.0,3.0,9.0,0.0,1.0,36600.0,2427.3609,67.0,37.0,25.0,39097,-0.086139
1404,DetonatioN FocusMe,LJL,2021-02-28 08:40:36,0,1303,1.0,1,14,1,1.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,44536.0,2263.8833,62.0,23.0,25.0,43725,0.238109
1405,Crest Gaming Act,LJL,2021-02-28 08:40:36,1,1303,1.0,0,1,14,0.0,1.0,0.0,0.0,1.0,8.0,0.0,1.0,22438.0,3035.9171,60.0,25.0,27.0,31590,-0.238109
1406,BOOM Esports,PCS,2021-02-28 08:43:08,1,2270,1.0,0,10,20,0.0,3.0,0.0,2.0,3.0,8.0,0.0,1.0,53496.0,2312.1938,122.0,82.0,47.0,61585,-0.0978927
1407,Beyond Gaming,PCS,2021-02-28 08:43:08,0,2270,1.0,1,20,11,1.0,3.0,2.0,0.0,8.0,3.0,1.0,0.0,58229.0,2517.8326,151.0,63.0,60.0,69885,0.0978927
1408,Kwangdong Freecs,LCK,2021-02-28 08:43:11,1,2130,2.0,0,10,13,0.0,3.0,0.0,1.0,6.0,9.0,1.0,1.0,53328.0,2785.4366,122.0,70.0,54.0,61273,-0.0606881
1409,Gen.G,LCK,2021-02-28 08:43:11,0,2130,2.0,1,13,10,1.0,2.0,1.0,0.0,9.0,6.0,1.0,1.0,68523.0,2637.1831,157.0,72.0,58.0,67013,0.0606881
1410,Rare Atom,LPL,2021-02-28 09:08:49,1,2100,1.0,1,17,5,1.0,5.0,2.0,0.0,9.0,2.0,1.0,0.0,78256.0,2641.5429,156.0,62.0,37.0,71509,0.207627
1411,Oh My God,LPL,2021-02-28 09:08:49,0,2100,1.0,0,5,17,0.0,1.0,0.0,2.0,2.0,9.0,0.0,1.0,51488.0,2920.2,110.0,79.0,57.0,55710,-0.207627
1412,Team Flash,VCS,2021-02-28 09:42:38,1,1577,1.0,0,5,16,0.0,0.0,0.0,1.0,2.0,9.0,0.0,2.0,37386.0,2534.9144,88.0,39.0,30.0,41973,-0.154651
1413,Saigon Buffalo,VCS,2021-02-28 09:42:38,0,1577,1.0,1,16,5,1.0,4.0,1.0,0.0,9.0,2.0,2.0,0.0,39101.0,2316.449,90.0,39.0,40.0,53278,0.154651
1414,Gen.G,LCK,2021-02-28 09:44:13,1,2506,3.0,1,22,18,0.0,5.0,2.0,1.0,11.0,4.0,4.0,0.0,96295.0,2954.2937,169.0,89.0,69.0,80565,0.0341631
1415,Kwangdong Freecs,LCK,2021-02-28 09:44:13,0,2506,3.0,0,18,22,1.0,1.0,1.0,2.0,4.0,11.0,0.0,4.0,82909.0,3029.2338,165.0,91.0,57.0,73359,-0.0341631
1416,Sengoku Gaming,LJL,2021-02-28 09:44:16,0,1951,1.0,0,14,21,0.0,2.0,0.0,1.0,2.0,9.0,0.0,1.0,61612.0,2879.5387,91.0,47.0,35.0,53267,-0.130806
1417,DetonatioN FocusMe,LJL,2021-02-28 09:44:16,1,1951,1.0,1,21,14,1.0,3.0,1.0,0.0,9.0,2.0,1.0,0.0,63897.0,2986.3455,101.0,46.0,36.0,63238,0.130806
1418,PSG Talon,PCS,2021-02-28 09:45:46,1,1344,1.0,1,15,3,0.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,48438.0,2414.5982,50.0,22.0,18.0,44470,0.118638
1419,Berjaya Dragons,PCS,2021-02-28 09:45:46,0,1344,1.0,0,3,15,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,23400.0,2979.4643,67.0,13.0,32.0,32351,-0.118638
1420,Oh My God,LPL,2021-02-28 10:03:11,1,2442,2.0,1,16,14,0.0,2.0,1.0,1.0,7.0,4.0,1.0,0.0,90282.0,3146.4128,174.0,66.0,62.0,70916,-0.0669145
1421,Rare Atom,LPL,2021-02-28 10:03:11,0,2442,2.0,0,14,16,1.0,3.0,1.0,1.0,4.0,7.0,0.0,1.0,97668.0,3172.6536,162.0,104.0,41.0,71367,0.0669145
1422,Saigon Buffalo,VCS,2021-02-28 10:42:45,1,1526,2.0,1,22,8,1.0,1.0,1.0,0.0,11.0,1.0,3.0,0.0,45039.0,2787.9554,83.0,33.0,28.0,53664,0.102369
1423,Team Flash,VCS,2021-02-28 10:42:45,0,1526,2.0,0,8,22,0.0,2.0,0.0,1.0,1.0,11.0,0.0,3.0,35505.0,2797.4312,86.0,33.0,30.0,41768,-0.102369
1424,Beyond Gaming,PCS,2021-02-28 10:44:06,1,2048,1.0,1,26,10,0.0,3.0,2.0,0.0,8.0,1.0,1.0,0.0,89391.0,3271.7871,103.0,49.0,43.0,68394,0.130401
1425,Hong Kong Attitude,PCS,2021-02-28 10:44:06,0,2048,1.0,0,10,26,1.0,2.0,0.0,2.0,1.0,8.0,0.0,1.0,68616.0,3685.1953,107.0,52.0,47.0,55133,-0.130401
1426,Sengoku Gaming,LJL,2021-02-28 10:49:03,1,2165,1.0,1,10,6,0.0,4.0,1.0,0.0,11.0,2.0,3.0,0.0,60740.0,2655.6028,111.0,63.0,48.0,65108,0.154336
1427,Burning Core,LJL,2021-02-28 10:49:03,0,2165,1.0,0,6,10,1.0,0.0,0.0,1.0,2.0,11.0,0.0,3.0,59150.0,2389.4411,110.0,53.0,41.0,55071,-0.154336
1428,Nongshim RedForce,LCK,2021-02-28 10:52:11,0,1774,1.0,1,15,4,1.0,4.0,1.0,0.0,10.0,0.0,4.0,0.0,52048.0,2554.566,139.0,64.0,39.0,58631,0.164689
1429,Liiv SANDBOX,LCK,2021-02-28 10:52:11,1,1774,1.0,0,4,15,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,41242.0,2309.4589,99.0,51.0,44.0,45316,-0.164689
1430,SBTC Esports,VCS,2021-02-28 11:59:59,1,1732,1.0,0,10,23,0.0,1.0,0.0,1.0,1.0,9.0,0.0,2.0,47862.0,3720.3811,100.0,37.0,32.0,46251,-0.175333
1431,Luxury Esports,VCS,2021-02-28 11:59:59,0,1732,1.0,1,23,10,1.0,2.0,1.0,0.0,9.0,1.0,2.0,0.0,78826.0,2693.3487,91.0,43.0,35.0,58647,0.175333
1432,Suning,LPL,2021-02-28 12:04:39,1,1730,1.0,1,19,5,0.0,3.0,1.0,0.0,9.0,1.0,2.0,0.0,68659.0,2916.8671,102.0,43.0,28.0,59378,0.147702
1433,Invictus Gaming,LPL,2021-02-28 12:04:39,0,1730,1.0,0,5,19,1.0,1.0,0.0,1.0,1.0,9.0,0.0,2.0,44178.0,3143.6532,90.0,38.0,32.0,45156,-0.147702
1434,Alpha Esports,PCS,2021-02-28 12:06:45,1,1722,1.0,1,13,2,1.0,2.0,1.0,0.0,10.0,1.0,2.0,0.0,51078.0,2466.7596,98.0,35.0,35.0,54558,0.148827
1435,Liyab Esports,PCS,2021-02-28 12:06:45,0,1722,1.0,0,2,13,0.0,2.0,0.0,1.0,1.0,10.0,0.0,2.0,34946.0,2850.3136,89.0,32.0,31.0,41740,-0.148827
1436,Crest Gaming Act,LJL,2021-02-28 12:16:06,1,2454,1.0,1,17,7,1.0,5.0,0.0,2.0,9.0,4.0,3.0,0.0,85501.0,2752.1027,143.0,105.0,58.0,74824,0.000766433
1437,Burning Core,LJL,2021-02-28 12:16:06,0,2454,1.0,0,7,17,0.0,2.0,2.0,0.0,4.0,9.0,0.0,3.0,75984.0,2735.3056,191.0,76.0,63.0,69553,-0.000766433
1438,Nongshim RedForce,LCK,2021-02-28 12:30:42,1,1534,2.0,1,17,4,0.0,3.0,1.0,0.0,8.0,2.0,1.0,0.0,51984.0,2099.2177,93.0,47.0,24.0,50240,0.128655
1439,Liiv SANDBOX,LCK,2021-02-28 12:30:42,0,1534,2.0,0,4,17,1.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,33725.0,2996.206,92.0,39.0,38.0,40709,-0.128655
1440,Machi Esports,PCS,2021-02-28 12:49:11,0,2093,1.0,0,13,21,0.0,2.0,1.0,1.0,3.0,10.0,0.0,2.0,65013.0,3194.4482,118.0,49.0,34.0,59592,0.00205761
1441,J Team,PCS,2021-02-28 12:49:11,1,2093,1.0,1,21,13,1.0,2.0,1.0,1.0,10.0,3.0,2.0,0.0,75709.0,2941.3187,109.0,56.0,43.0,66212,-0.00205761
1442,Invictus Gaming,LPL,2021-02-28 12:51:41,1,1644,2.0,0,8,13,0.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,27449.0,2661.1679,78.0,52.0,36.0,45070,-0.0486688
1443,Suning,LPL,2021-02-28 12:51:41,0,1644,2.0,1,13,8,1.0,4.0,1.0,0.0,7.0,2.0,1.0,0.0,51006.0,1974.3066,102.0,36.0,38.0,52801,0.0486688
1444,Luxury Esports,VCS,2021-02-28 12:51:48,1,1977,2.0,0,19,29,0.0,2.0,0.0,2.0,3.0,9.0,0.0,2.0,82911.0,3307.3141,126.0,45.0,51.0,58642,-0.0830781
1445,SBTC Esports,VCS,2021-02-28 12:51:48,0,1977,2.0,1,29,19,1.0,3.0,2.0,0.0,9.0,3.0,2.0,0.0,91124.0,3560.5159,130.0,54.0,42.0,68543,0.0830781
1446,SBTC Esports,VCS,2021-02-28 13:46:26,1,2309,3.0,1,21,10,0.0,3.0,2.0,0.0,11.0,4.0,2.0,0.0,89195.0,2734.9242,142.0,62.0,42.0,76239,0.160344
1447,Luxury Esports,VCS,2021-02-28 13:46:26,0,2309,3.0,0,10,21,1.0,3.0,0.0,2.0,4.0,11.0,0.0,2.0,60586.0,3235.2967,143.0,59.0,59.0,64475,-0.160344
1448,Vorax Liberty,CBLOL,2021-02-28 15:26:57,1,2438,1.0,1,27,18,1.0,4.0,2.0,1.0,10.0,3.0,4.0,0.0,107312.0,3720.4184,140.0,57.0,61.0,77420,0.0148309
1449,paiN Gaming,CBLOL,2021-02-28 15:26:57,0,2438,1.0,0,18,27,0.0,2.0,1.0,2.0,3.0,10.0,0.0,4.0,107749.0,3398.1952,152.0,53.0,56.0,71358,-0.0148309
1450,KaBuM! e-Sports,CBLOL,2021-02-28 17:09:50,1,1845,1.0,0,12,20,1.0,2.0,0.0,2.0,2.0,11.0,0.0,3.0,69918.0,3542.8293,101.0,49.0,45.0,51165,-0.156421
1451,FURIA,CBLOL,2021-02-28 17:09:50,0,1845,1.0,1,20,12,0.0,3.0,2.0,0.0,11.0,2.0,3.0,0.0,76371.0,3561.1057,102.0,40.0,55.0,60240,0.156421
1452,Cruzeiro eSports,CBLOL,2021-02-28 18:07:05,1,2245,1.0,0,16,26,1.0,0.0,1.0,1.0,3.0,8.0,0.0,1.0,80978.0,3226.4499,107.0,52.0,43.0,62030,-0.0178403
1453,Rensga eSports,CBLOL,2021-02-28 18:07:05,0,2245,1.0,1,26,16,0.0,4.0,1.0,1.0,8.0,3.0,1.0,0.0,94413.0,3259.6169,119.0,53.0,43.0,68626,0.0178403
1454,Flamengo Esports,CBLOL,2021-02-28 19:31:48,0,1888,1.0,1,16,13,0.0,1.0,1.0,0.0,9.0,3.0,2.0,0.0,58138.0,2563.1568,109.0,48.0,50.0,58548,-0.00775194
1455,RED Canids,CBLOL,2021-02-28 19:31:48,1,1888,1.0,0,13,16,1.0,4.0,0.0,1.0,3.0,9.0,0.0,2.0,48316.0,2533.5699,106.0,39.0,51.0,52916,0.00775194
1456,INTZ,CBLOL,2021-02-28 20:25:18,1,1742,1.0,0,10,20,1.0,1.0,0.0,1.0,4.0,9.0,0.0,2.0,48198.0,3079.8048,86.0,45.0,43.0,49302,-0.0022819
1457,LOUD,CBLOL,2021-02-28 20:25:18,0,1742,1.0,1,20,10,0.0,3.0,1.0,0.0,9.0,4.0,2.0,0.0,61228.0,2889.3685,102.0,31.0,43.0,56582,0.0022819
1458,FlyQuest,LCS,2021-02-28 20:31:48,1,2223,1.0,1,12,4,1.0,4.0,1.0,0.0,7.0,7.0,1.0,1.0,43217.0,2423.6167,150.0,96.0,49.0,68746,0.0216636
1459,TSM,LCS,2021-02-28 20:31:48,0,2223,1.0,0,4,12,0.0,2.0,0.0,1.0,7.0,7.0,1.0,1.0,50297.0,1931.0661,187.0,81.0,52.0,64720,-0.0216636
1460,100 Thieves,LCS,2021-02-28 21:44:35,1,1462,1.0,0,2,14,0.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,27658.0,2477.1135,67.0,26.0,25.0,39426,-0.102153
1461,Cloud9,LCS,2021-02-28 21:44:35,0,1462,1.0,1,14,2,1.0,3.0,1.0,0.0,8.0,2.0,1.0,0.0,39040.0,2437.3051,74.0,29.0,25.0,46638,0.102153
1462,Estral Esports,LLA,2021-02-28 21:57:45,1,2025,1.0,1,11,5,1.0,4.0,1.0,0.0,9.0,1.0,2.0,0.0,72015.0,2701.6,144.0,55.0,48.0,63076,0.16395
1463,Isurus,LLA,2021-02-28 21:57:45,0,2025,1.0,0,5,11,0.0,1.0,0.0,1.0,1.0,9.0,0.0,2.0,48860.0,2756.1481,101.0,49.0,41.0,49375,-0.16395
1464,Immortals,LCS,2021-02-28 22:37:08,1,1921,1.0,0,7,16,0.0,0.0,0.0,2.0,2.0,11.0,0.0,3.0,60694.0,3087.3295,84.0,47.0,34.0,51043,-0.138406
1465,Team Liquid,LCS,2021-02-28 22:37:08,0,1921,1.0,1,16,7,1.0,4.0,2.0,0.0,11.0,2.0,3.0,0.0,68109.0,2964.987,110.0,47.0,35.0,65142,0.138406
1466,Kaos Latin Gamers,LLA,2021-02-28 23:16:27,0,2387,1.0,1,12,7,1.0,4.0,1.0,1.0,6.0,9.0,1.0,1.0,99654.0,3019.2292,154.0,49.0,62.0,66463,-0.0545057
1467,Rainbow7,LLA,2021-02-28 23:16:27,1,2387,1.0,0,7,12,0.0,2.0,1.0,1.0,9.0,6.0,1.0,1.0,92183.0,3624.9602,115.0,74.0,48.0,65916,0.0545057
1468,Evil Geniuses,LCS,2021-02-28 23:37:25,1,2428,1.0,1,21,15,1.0,4.0,2.0,0.0,9.0,3.0,1.0,0.0,86079.0,3538.6409,150.0,71.0,53.0,77792,0.0986911
1469,Golden Guardians,LCS,2021-02-28 23:37:25,0,2428,1.0,0,15,21,0.0,3.0,0.0,2.0,3.0,9.0,0.0,1.0,101592.0,2961.3509,151.0,69.0,65.0,68269,-0.0986911
1470,All Knights,LLA,2021-03-01 00:13:12,1,2057,1.0,0,11,20,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,33955.0,2700.9626,96.0,39.0,43.0,53841,-0.120324
1471,XTEN Esports,LLA,2021-03-01 00:13:12,0,2057,1.0,1,20,11,1.0,4.0,1.0,0.0,9.0,0.0,1.0,0.0,60751.0,2002.7516,119.0,55.0,42.0,64157,0.120324
1472,Dignitas,LCS,2021-03-01 00:45:51,1,2051,1.0,0,10,15,0.0,3.0,0.0,1.0,3.0,9.0,0.0,1.0,62774.0,3230.9605,100.0,58.0,45.0,54418,-0.0117907
1473,Counter Logic Gaming,LCS,2021-03-01 00:45:51,0,2051,1.0,1,15,10,1.0,2.0,1.0,0.0,9.0,3.0,1.0,0.0,74780.0,2658.8103,120.0,35.0,50.0,60480,0.0117907
1474,Infinity Esports,LLA,2021-03-01 01:09:00,1,1737,1.0,0,9,13,1.0,2.0,0.0,1.0,3.0,8.0,0.0,1.0,52246.0,3228.6356,92.0,42.0,35.0,46936,-0.062047
1475,Furious Gaming,LLA,2021-03-01 01:09:00,0,1737,1.0,1,13,9,0.0,2.0,1.0,0.0,8.0,3.0,1.0,0.0,61478.0,2719.3092,100.0,46.0,41.0,52982,0.062047
1476,Rogue Warriors,LPL,2021-03-01 09:19:06,1,1642,1.0,0,6,11,0.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,36677.0,2782.6553,86.0,31.0,31.0,41536,-0.147428
1477,EDward Gaming,LPL,2021-03-01 09:19:06,0,1642,1.0,1,11,6,1.0,4.0,1.0,0.0,9.0,1.0,2.0,0.0,51349.0,2265.4933,80.0,44.0,26.0,53079,0.147428
1478,EDward Gaming,LPL,2021-03-01 10:07:02,0,2319,2.0,1,21,16,1.0,2.0,1.0,0.0,9.0,1.0,2.0,0.0,103882.0,3133.6869,150.0,66.0,52.0,75764,0.0971319
1479,Rogue Warriors,LPL,2021-03-01 10:07:02,1,2319,2.0,0,16,21,0.0,4.0,0.0,1.0,1.0,9.0,0.0,2.0,88228.0,3718.37,129.0,71.0,56.0,63743,-0.0971319
1480,FunPlus Phoenix,LPL,2021-03-01 11:16:12,1,1418,1.0,1,13,5,0.0,2.0,1.0,0.0,8.0,1.0,1.0,0.0,51492.0,3020.7757,71.0,29.0,24.0,48680,0.251614
1481,JD Gaming,LPL,2021-03-01 11:16:12,0,1418,1.0,0,5,13,1.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,37206.0,2910.4654,73.0,27.0,26.0,38052,-0.251614
1482,JD Gaming,LPL,2021-03-01 12:02:00,1,1527,2.0,0,9,26,1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,46981.0,3289.4303,76.0,30.0,29.0,40678,-0.20758
1483,FunPlus Phoenix,LPL,2021-03-01 12:02:00,0,1527,2.0,1,26,9,0.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,72484.0,3166.8369,78.0,24.0,32.0,55536,0.20758
1484,Suning,LPL,2021-03-02 09:19:40,1,1951,1.0,1,15,9,1.0,2.0,1.0,0.0,9.0,0.0,1.0,0.0,77256.0,2501.8862,110.0,60.0,43.0,64907,0.110717
1485,ThunderTalk Gaming,LPL,2021-03-02 09:19:40,0,1951,1.0,0,9,15,0.0,2.0,0.0,1.0,0.0,9.0,0.0,1.0,48809.0,3299.0466,120.0,48.0,55.0,53039,-0.110717
1486,ThunderTalk Gaming,LPL,2021-03-02 10:13:00,1,1408,2.0,0,0,14,0.0,0.0,0.0,1.0,0.0,11.0,0.0,3.0,30703.0,3224.1477,59.0,30.0,27.0,34514,-0.328957
1487,Suning,LPL,2021-03-02 10:13:00,0,1408,2.0,1,14,1,1.0,3.0,1.0,0.0,11.0,0.0,3.0,0.0,51859.0,2850.3409,68.0,33.0,29.0,51173,0.328957
1488,Bilibili Gaming,LPL,2021-03-02 11:07:02,1,1654,1.0,0,5,17,1.0,1.0,0.0,1.0,3.0,9.0,0.0,1.0,51561.0,4240.1209,95.0,34.0,40.0,43373,-0.116414
1489,Invictus Gaming,LPL,2021-03-02 11:07:02,0,1654,1.0,1,17,5,0.0,3.0,1.0,0.0,9.0,3.0,1.0,0.0,98526.0,3266.1185,89.0,62.0,46.0,55122,0.116414
1490,Invictus Gaming,LPL,2021-03-02 11:55:00,0,1841,2.0,1,19,10,1.0,4.0,1.0,1.0,10.0,3.0,1.0,0.0,96562.0,3652.7648,92.0,53.0,42.0,62101,0.103336
1491,Bilibili Gaming,LPL,2021-03-02 11:55:00,1,1841,2.0,0,10,19,0.0,1.0,1.0,1.0,3.0,10.0,0.0,1.0,66293.0,3990.7333,99.0,39.0,43.0,52717,-0.103336
1492,eStar,LPL,2021-03-03 09:19:35,1,2041,1.0,0,9,14,0.0,3.0,0.0,2.0,3.0,8.0,0.0,1.0,42241.0,2834.5223,128.0,73.0,62.0,56527,-0.096741
1493,Rare Atom,LPL,2021-03-03 09:19:35,0,2041,1.0,1,14,9,1.0,2.0,2.0,0.0,8.0,3.0,1.0,0.0,69624.0,2227.3493,160.0,67.0,42.0,67085,0.096741
1494,Rare Atom,LPL,2021-03-03 10:16:17,1,2113,2.0,1,16,11,0.0,2.0,1.0,1.0,9.0,3.0,2.0,0.0,83969.0,2653.4879,147.0,57.0,32.0,66354,0.0120231
1495,eStar,LPL,2021-03-03 10:16:17,0,2113,2.0,0,11,16,1.0,3.0,1.0,1.0,3.0,9.0,0.0,2.0,59354.0,3336.9143,123.0,70.0,64.0,61170,-0.0120231
1496,LGD Gaming,LPL,2021-03-03 11:24:39,1,1502,1.0,0,4,16,0.0,0.0,0.0,1.0,3.0,11.0,0.0,3.0,43436.0,2606.3249,79.0,31.0,32.0,40438,-0.182372
1497,Team WE,LPL,2021-03-03 11:24:39,0,1502,1.0,1,16,4,1.0,3.0,1.0,0.0,11.0,3.0,3.0,0.0,44182.0,2816.1651,60.0,40.0,25.0,53261,0.182372
1498,Team WE,LPL,2021-03-03 12:08:00,1,1675,2.0,1,23,7,1.0,4.0,1.0,0.0,10.0,2.0,2.0,0.0,79285.0,3465.8507,78.0,39.0,33.0,58195,0.235473
1499,LGD Gaming,LPL,2021-03-03 12:08:00,0,1675,2.0,0,7,23,0.0,0.0,0.0,1.0,2.0,10.0,0.0,2.0,61851.0,3696.0,87.0,42.0,39.0,43451,-0.235473
1500,KT Rolster,LCK,2021-03-04 05:17:20,1,1666,1.0,0,2,6,1.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,23697.0,2075.5822,107.0,40.0,37.0,43097,-0.138633
1501,DRX,LCK,2021-03-04 05:17:20,0,1666,1.0,1,6,2,0.0,3.0,1.0,0.0,9.0,0.0,1.0,0.0,29982.0,1975.5342,103.0,54.0,37.0,53258,0.138633
1502,KT Rolster,LCK,2021-03-04 08:44:34,0,3059,2.0,1,28,17,0.0,4.0,3.0,1.0,11.0,5.0,4.0,0.0,125198.0,2691.0167,212.0,102.0,70.0,93292,0.0844861
1503,DRX,LCK,2021-03-04 08:44:34,1,3059,2.0,0,17,28,1.0,4.0,1.0,3.0,5.0,11.0,0.0,4.0,109972.0,3408.8199,190.0,90.0,76.0,88733,-0.0844861
1504,LNG Esports,LPL,2021-03-04 09:18:00,0,2255,1.0,0,12,12,0.0,2.0,0.0,3.0,3.0,9.0,0.0,1.0,33457.0,2254.5632,133.0,62.0,47.0,63342,-0.123826
1505,Royal Never Give Up,LPL,2021-03-04 09:18:00,1,2255,1.0,1,12,12,1.0,4.0,3.0,0.0,9.0,3.0,1.0,0.0,59537.0,1825.8359,140.0,70.0,47.0,71984,0.123826
1506,KT Rolster,LCK,2021-03-04 10:03:13,1,1923,3.0,0,4,18,0.0,1.0,0.0,1.0,1.0,10.0,0.0,2.0,50995.0,2078.4087,105.0,52.0,46.0,52128,-0.203305
1507,DRX,LCK,2021-03-04 10:03:13,0,1923,3.0,1,18,4,1.0,4.0,1.0,0.0,10.0,1.0,2.0,0.0,49201.0,2838.5959,106.0,49.0,42.0,63643,0.203305
1508,Royal Never Give Up,LPL,2021-03-04 10:15:13,1,1809,2.0,1,24,10,1.0,4.0,0.0,0.0,10.0,1.0,1.0,0.0,63827.0,3057.3798,101.0,52.0,35.0,62777,0.180455
1509,LNG Esports,LPL,2021-03-04 10:15:13,0,1809,2.0,0,10,24,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,58778.0,2884.1459,93.0,39.0,32.0,50545,-0.180455
1510,Fredit BRION,LCK,2021-03-04 11:02:36,1,1944,1.0,1,16,3,1.0,4.0,1.0,0.0,9.0,1.0,1.0,0.0,53453.0,2222.0679,124.0,77.0,43.0,61373,0.117344
1511,T1,LCK,2021-03-04 11:02:36,0,1944,1.0,0,3,16,0.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,38287.0,2555.6173,118.0,54.0,32.0,50592,-0.117344
1512,Oh My God,LPL,2021-03-04 11:18:30,1,1388,1.0,0,5,20,1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,38991.0,3505.4179,74.0,22.0,25.0,35809,-0.24126
1513,Top Esports,LPL,2021-03-04 11:18:30,0,1388,1.0,1,20,5,0.0,3.0,1.0,0.0,9.0,1.0,1.0,0.0,61103.0,3025.9798,67.0,38.0,29.0,50070,0.24126
1514,Oh My God,LPL,2021-03-04 12:01:00,1,1216,2.0,0,3,19,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,22813.0,3121.2829,51.0,16.0,21.0,29795,-0.314774
1515,Top Esports,LPL,2021-03-04 12:01:00,0,1216,2.0,1,19,3,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,50062.0,2093.4375,54.0,32.0,24.0,45162,0.314774
1516,T1,LCK,2021-03-04 12:44:18,1,2217,2.0,0,5,18,0.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,37213.0,2269.6076,187.0,87.0,48.0,56386,-0.0790921
1517,Fredit BRION,LCK,2021-03-04 12:44:18,0,2217,2.0,1,18,5,1.0,5.0,1.0,0.0,8.0,3.0,1.0,0.0,58161.0,1674.8309,169.0,112.0,68.0,67402,0.0790921
1518,Nongshim RedForce,LCK,2021-03-05 06:45:57,0,1898,1.0,0,10,22,0.0,2.0,0.0,1.0,1.0,11.0,0.0,2.0,54248.0,3289.2202,111.0,56.0,42.0,50302,-0.126459
1519,Hanwha Life Esports,LCK,2021-03-05 06:45:57,1,1898,1.0,1,22,10,1.0,3.0,1.0,0.0,11.0,1.0,2.0,0.0,75830.0,2715.079,128.0,61.0,48.0,61799,0.126459
1520,Machi Esports,PCS,2021-03-05 07:47:59,1,1333,1.0,1,12,6,1.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,37550.0,2768.4171,49.0,28.0,23.0,41610,0.135478
1521,BOOM Esports,PCS,2021-03-05 07:47:59,0,1333,1.0,0,6,12,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,35786.0,2633.4734,61.0,19.0,22.0,34070,-0.135478
1522,Nongshim RedForce,LCK,2021-03-05 08:37:32,1,1846,2.0,0,7,10,1.0,2.0,0.0,1.0,2.0,8.0,0.0,1.0,47661.0,2919.4258,106.0,60.0,44.0,47679,-0.0899607
1523,Hanwha Life Esports,LCK,2021-03-05 08:37:32,0,1846,2.0,1,10,7,0.0,3.0,1.0,0.0,8.0,2.0,1.0,0.0,56845.0,2650.0108,125.0,49.0,44.0,54616,0.0899607
1524,Beyond Gaming,PCS,2021-03-05 08:47:06,1,1824,1.0,1,12,10,1.0,4.0,2.0,0.0,9.0,3.0,2.0,0.0,47532.0,2959.3421,96.0,57.0,49.0,56095,0.0337474
1525,Berjaya Dragons,PCS,2021-03-05 08:47:06,0,1824,1.0,0,10,12,0.0,1.0,0.0,2.0,3.0,9.0,0.0,2.0,63272.0,2418.9474,122.0,39.0,53.0,48752,-0.0337474
1526,eStar,LPL,2021-03-05 09:19:31,1,2036,1.0,0,15,21,0.0,1.0,0.0,2.0,2.0,9.0,0.0,1.0,83771.0,3134.1159,141.0,72.0,59.0,57932,-0.0843689
1527,JD Gaming,LPL,2021-03-05 09:19:31,0,2036,1.0,1,21,15,1.0,4.0,2.0,0.0,9.0,2.0,1.0,0.0,81445.0,3514.833,126.0,77.0,38.0,68510,0.0843689
1528,Gen.G,LCK,2021-03-05 09:31:28,1,2258,1.0,0,9,15,1.0,1.0,1.0,0.0,5.0,8.0,0.0,1.0,80409.0,3066.457,136.0,74.0,63.0,65916,0.072749
